text,label,origin
Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,0,real
Payment of Rs.4999 to Netflix was successful. Txn ID T4911263963.,0,synthetic
Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,0,real
I am going to sao mu today. Will be done only at 12 ,0,real
I knew it... U slept v late yest? Wake up so late...,0,real
"Found it, ENC  &lt;#&gt; , where you at?",0,real
"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",0,real
Want to send me a virtual hug?... I need one,0,real
No need for the drug anymore.,0,real
The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,0,real
I'm thinking that chennai forgot to come for auction..,0,real
"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",0,real
Anything lor if they all go then i go lor...,0,real
Your OTP for SBI NetBanking login is 583555. Valid for 10 mins. Do not share this with anyone.,0,synthetic
Lol! Oops sorry! Have fun. ,0,real
"K so am I, how much for an 8th? Fifty?",0,real
Rs.4999.00 debited from a/c **8798 on 02-11-26 to VPA merchant819@okaxis. Avl bal Rs.11337.00. Not you? Call 1800679549.,0,synthetic
Hahaha..use your brain dear,0,real
Are you still getting the goods.,0,real
"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",1,real
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,1,real
Gud mrng dear have a nice day,0,real
What does the dance river do?,0,real
We have to pick rayan macleran there.,0,real
am up to my eyes in philosophy,0,real
"Sorry battery died, yeah I'm here",0,real
Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.,0,real
Nope i'm not drivin... I neva develop da photos lei...,0,real
You've received a cashback of Rs.4999. Pay Rs.99 activation fee to unlock it.,1,synthetic
"That's the trouble with classes that go well - you're due a dodgey one … Expecting mine tomo! See you for recovery, same time, same place ",0,real
I'm serious. You are in the money base,0,real
Umma my life and vava umma love you lot dear,0,real
We noticed suspicious activity on your UPI account. Share the OTP sent to you to secure it.,1,synthetic
"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2",0,real
When you guys planning on coming over?,0,real
There's no point hangin on to mr not right if he's not makin u happy,0,real
"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna",0,real
Yup but not studying surfing lor. I'm in e lazy mode today.,0,real
Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,0,real
Recharge successful! Rs.999 plan activated. Enjoy uninterrupted service.,0,synthetic
Don't necessarily expect it to be done before you get back though because I'm just now headin out,0,real
"Dear customer, your HDFC Bank KYC will be blocked in 24 hours. Update now: tinyurl.com/upi-verify",1,synthetic
"Sorry, I'll call later",0,real
Your brother is a genius,0,real
Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,1,real
"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",1,real
Many more happy returns of the day. I wish you happy birthday.,0,real
"I'm in a meeting, call me later at",0,real
ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX,0,real
Recharge successful! Rs.199 plan activated. Enjoy uninterrupted service.,0,synthetic
Have you got Xmas radio times. If not i will get it now,0,real
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,1,real
"Sorry, wrong UPI ID. Please approve the collect request I just sent so I can get my money back.",1,synthetic
Am slow in using biola's fne,0,real
Job offer: Earn Rs.199/day from home. Register by paying a refundable Rs.499 deposit.,1,synthetic
"Pls send me a comprehensive mail about who i'm paying, when and how much.",0,real
"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",1,real
How much it will cost approx . Per month.,0,real
K sure am in my relatives home. Sms me de. Pls:-),0,real
Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,0,real
Its  &lt;#&gt; k here oh. Should i send home for sale.,0,real
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,1,real
Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,0,real
Your UPI Autopay mandate for Rs.2499 to Airtel is due on 26-02-26.,0,synthetic
"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",1,real
"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",0,real
This is Enforcement Directorate. A case has been registered against your Aadhaar. Call 1800151470 immediately.,1,synthetic
How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,0,real
Ok then i will come to ur home after half an hour,0,real
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,1,real
Yes da. Any plm at ur office,0,real
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1,real
"Dear customer, your ICICI Bank KYC will be blocked in 24 hours. Update now: tinyurl.com/upi-verify",1,synthetic
Hey check it da. I have listed da.,0,real
Rs.4999 withdrawn from ATM **9502 on 28-11-26. Avl bal Rs.14629. Not you? Call 1800736095.,0,synthetic
Thanks for picking up the trash.,0,real
:( but your not here....,0,real
K. Did you call me just now ah? ,0,real
"Now, whats your house # again ? And do you have any beer there ?",0,real
Your parcel is held at customs. Pay Rs.499 customs duty via UPI to release it: tinyurl.com/upi-verify,1,synthetic
You've received a cashback of Rs.49. Pay Rs.99 activation fee to unlock it.,1,synthetic
Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*,0,real
I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...,0,real
Ok lor then we go tog lor...,0,real
What you thinked about me. First time you saw me in class.,0,real
lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,1,real
"Sorry, I'll call later",0,real
I need to come home and give you some good lovin...,0,real
Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,0,real
Too late. I said i have the website. I didn't i have or dont have the slippers,0,real
"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",0,real
I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,0,real
Can i get your opinion on something first?,0,real
"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",0,real
Your parcel is held at customs. Pay Rs.199 customs duty via UPI to release it: kyc-update.in/verify,1,synthetic
"Dear customer, your SBI KYC will be blocked in 24 hours. Update now: tinyurl.com/upi-verify",1,synthetic
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",1,real
WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.,1,real
New car and house for my parents.:)i have only new job in hand:),0,real
K..k..i'm also fine:)when will you complete the course?,0,real
Recharge successful! Rs.2499 plan activated. Enjoy uninterrupted service.,0,synthetic
At WHAT TIME should i come tomorrow,0,real
Your UPI PIN needs verification. Enter your PIN here: bit.ly/3xK9z,1,synthetic
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",1,real
"I guess you could be as good an excuse as any, lol.",0,real
Your UPI Autopay mandate for Rs.499 to Netflix is due on 03-04-26.,0,synthetic
Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,0,real
Networking job is there.,0,real
K.k..how is your sister kids?,0,real
Can you do a mag meeting this avo at some point?,0,real
"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x",0,real
Your Axis Bank Credit Card statement of Rs.50000 is generated. Due date 06-01-26.,0,synthetic
This is ICICI Bank support. Please install AnyDesk and share your screen so we can process your refund.,1,synthetic
So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,0,real
"Oops, I'll let you know when my roommate's done",0,real
Send his number and give reply tomorrow morning for why you said that to him like that ok,0,real
Well I'm going to be an aunty!,0,real
Nope. Meanwhile she talk say make i greet you.,0,real
Your UPI Autopay mandate for Rs.199 to Airtel is due on 22-01-26.,0,synthetic
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,real
You also didnt get na hi hi hi hi hi,0,real
Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/,0,real
I'll meet you in the lobby,0,real
Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.,0,real
This is Enforcement Directorate. A case has been registered against your Aadhaar. Call 1800853362 immediately.,1,synthetic
"see you then, we're all christmassy here!",0,real
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,0,real
Your UPI Autopay mandate for Rs.50000 to BigBasket is due on 18-09-26.,0,synthetic
Your parcel is held at customs. Pay Rs.199 customs duty via UPI to release it: kyc-update.in/verify,1,synthetic
Rs.4999.00 debited from a/c **7214 on 27-04-26 to VPA merchant571@ybl. Avl bal Rs.20832.00. Not you? Call 1800657772.,0,synthetic
Hi. I'm sorry i missed your call. Can you pls call back.,0,real
Rs.50000 withdrawn from ATM **5807 on 07-01-26. Avl bal Rs.41142. Not you? Call 1800138780.,0,synthetic
Job offer: Earn Rs.50000/day from home. Register by paying a refundable Rs.499 deposit.,1,synthetic
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,1,real
I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,0,real
Hey what how about your project. Started aha da.,0,real
You've received a cashback of Rs.199. Pay Rs.99 activation fee to unlock it.,1,synthetic
"Ta-Daaaaa! I am home babe, are you still up ?",0,real
Thats cool! I am a gentleman and will treat you with dignity and respect.,0,real
"As usual..iam fine, happy &amp; doing well..:)",0,real
Or ü go buy wif him then i meet ü later can?,0,real
I am waiting machan. Call me once you free.,0,real
Your UPI PIN needs verification. Enter your PIN here: tinyurl.com/upi-verify,1,synthetic
This is Enforcement Directorate. A case has been registered against your Aadhaar. Call 1800328994 immediately.,1,synthetic
Good Morning plz call me sir,0,real
So what u doing today?,0,real
"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",0,real
Payment of Rs.50000 to Zomato was successful. Txn ID T2796717941.,0,synthetic
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,1,real
Waaaat?? Lololo ok next time then!,0,real
"Yeah sure, give me a couple minutes to track down my wallet",0,real
That seems unnecessarily hostile,0,real
Why did I wake up on my own &gt;:(,0,real
Nothing. Can...,0,real
Do u noe wat time e place dat sells 4d closes?,0,real
"Sorry, went to bed early, nightnight",0,real
"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?",0,real
I will reach ur home in  &lt;#&gt;  minutes,0,real
"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost £1.50. 2 cancel send STOP",1,real
"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",1,real
This is Enforcement Directorate. A case has been registered against your Aadhaar. Call 1800821255 immediately.,1,synthetic
K:)k:)good:)study well.,0,real
No da if you run that it activate the full version da.,0,real
"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",0,real
Take something for pain. If it moves however to any side in the next 6hrs see a doctor.,0,real
Boooo you always work. Just quit.,0,real
No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,0,real
Filthy stories and GIRLS waiting for your,1,real
Download TeamViewer QuickSupport so our engineer can fix your account issue immediately.,1,synthetic
Payment of Rs.4999 to BigBasket was successful. Txn ID T9632663990.,0,synthetic
We noticed suspicious activity on your UPI account. Share the OTP sent to you to secure it.,1,synthetic
"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",1,real
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,real
Your OTP for HDFC Bank NetBanking login is 361609. Valid for 10 mins. Do not share this with anyone.,0,synthetic
i am going to bed now prin,0,real
Download TeamViewer QuickSupport so our engineer can fix your account issue immediately.,1,synthetic
Can you pls send me that company name. In saibaba colany,0,real
ringtoneking 84484,1,real
Small problem in auction:)punj now asking tiwary,0,real
Is toshiba portege m100 gd?,0,real
But pls dont play in others life.,0,real
We'll you pay over like  &lt;#&gt; yrs so its not too difficult,0,real
Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,0,real
Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!,0,real
Rs.2499 credited to your a/c **5932 on 09-11-26 via UPI. Avl bal Rs.13061.,0,synthetic
Is it your yahoo boys that bring in the perf? Or legal.,0,real
Shhhhh nobody is supposed to know!,0,real
A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol,0,real
"Dear customer, your HDFC Bank KYC will be blocked in 24 hours. Update now: bit.ly/3xK9z",1,synthetic
When you are big..| God will bring success.,0,real
Hi its in durban are you still on this number,0,real
Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),0,real
"If i let you do this, i want you in the house by 8am.",0,real
"Coffee cake, i guess...",0,real
Rs.199.00 debited from a/c **7854 on 19-04-26 to VPA vendor918@okaxis. Avl bal Rs.56456.00. Not you? Call 1800303941.,0,synthetic
"Sorry, wrong UPI ID. Please approve the collect request I just sent so I can get my money back.",1,synthetic
We noticed suspicious activity on your UPI account. Share the OTP sent to you to secure it.,1,synthetic
Your OTP for Axis Bank NetBanking login is 596349. Valid for 10 mins. Do not share this with anyone.,0,synthetic
I had askd u a question some hours before. Its answer,0,real
They finally came to fix the ceiling.,0,real
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,real
Recharge successful! Rs.999 plan activated. Enjoy uninterrupted service.,0,synthetic
Nice.nice.how is it working?,0,real
I;m reaching in another 2 stops.,0,real
Need a coffee run tomo?Can't believe it's that time of week already,0,real
I have a sore throat. It's scratches when I talk,0,real
No that just means you have a fat head,0,real
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",1,real
"Latest News! Police station toilet stolen, cops have nothing to go on!",1,real
Download TeamViewer QuickSupport so our engineer can fix your account issue immediately.,1,synthetic
He remains a bro amongst bros,0,real
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,1,real
You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! ,0,real
Hi.what you think about match?,0,real
Rs.499.00 debited from a/c **7250 on 17-06-26 to VPA merchant552@oksbi. Avl bal Rs.1292.00. Not you? Call 1800737600.,0,synthetic
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",1,real
"Yeah, that's fine! It's £6 to get in, is that ok? ",0,real
Sac will score big hundred.he is set batsman:-),0,real
Well if I'm that desperate I'll just call armand again,0,real
"Response is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U""... Gud night..swt dreams..take care",0,real
somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,0,real
I think i've fixed it can you send a test message?,0,real
Now i'm going for lunch.,0,real
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,1,real
Stop the story. I've told him i've returned it and he's saying i should not re order it.,0,real
"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",0,real
Your UPI PIN needs verification. Enter your PIN here: bit.ly/3xK9z,1,synthetic
How are you doing. How's the queen. Are you going for the royal wedding,0,real
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",1,real
Oh wow thats gay. Will firmware update help,0,real
"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",0,real
"Gud gud..k, chikku tke care.. sleep well gud nyt",0,real
Congratulations! You won Rs.49 lottery. Send Rs.499 processing fee via UPI to claim.,1,synthetic
Happy birthday... May u find ur prince charming soon n dun work too hard...,0,real
I might go 2 sch. Yar at e salon now v boring.,0,real
K actually can you guys meet me at the sunoco on howard? It should be right on the way,0,real
So u workin overtime nigpun?,0,real
Ok...,0,real
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1,real
Kay... Since we are out already ,0,real
Ok i msg u b4 i leave my house.,0,real
Lol wtf random. Btw is that your lunch break,0,real
Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,1,real
Yes but I don't care cause I know its there!,0,real
What you need. You have a person to give na.,0,real
Customer place i will call you,0,real
"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",1,real
"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records",1,real
"Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled &amp; answered: . . ""She is fine!"" Gudnite",0,real
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",0,real
Re your call; You didn't see my facebook huh?,0,real
I am in your office na.,0,real
Hi. Hope you had a good day. Have a better night.,0,real
Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,0,real
This is Enforcement Directorate. A case has been registered against your Aadhaar. Call 1800327797 immediately.,1,synthetic
From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,0,real
"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ",0,real
First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries,0,real
Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,1,real
Ü thk of wat to eat tonight.,0,real
I think if he rule tamilnadu..then its very tough for our people.,0,real
"Haha... Sounds crazy, dunno can tahan anot...",0,real
"Goodmorning, Today i am late for  &lt;#&gt; min.",0,real
Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?,0,real
I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave... ,0,real
Did u got that persons story,0,real
Can you just come in for a sec? There's somebody here I want you to see,0,real
Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,0,real
Wah... Okie okie... Muz make use of e unlimited... Haha... ,0,real
"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",0,real
Your HDFC Bank Credit Card statement of Rs.49 is generated. Due date 23-09-26.,0,synthetic
"Goodmorning, today i am late for  &lt;DECIMAL&gt; min.",0,real
I have sent Rs.999 to your account by mistake. Please accept the collect request to return it.,1,synthetic
URGENT: Your SBI account KYC has expired. Click tinyurl.com/upi-verify to avoid suspension.,1,synthetic
Oh k.i think most of wi and nz players unsold.,0,real
Sorry * was at the grocers.,0,real
Haf u found him? I feel so stupid da v cam was working.,0,real
Ok... Ur typical reply...,0,real
Don know:)this week i'm going to tirunelvai da.,0,real
"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",1,real
Download TeamViewer QuickSupport so our engineer can fix your account issue immediately.,1,synthetic
Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs,0,real
Whos this am in class:-),0,real
"Aight, we'll head out in a few",0,real
Your UPI PIN needs verification. Enter your PIN here: tinyurl.com/upi-verify,1,synthetic
Your UPI PIN needs verification. Enter your PIN here: tinyurl.com/upi-verify,1,synthetic
Your UPI Autopay mandate for Rs.999 to BigBasket is due on 08-09-26.,0,synthetic
The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,0,real
Lmao but its so fun...,0,real
Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,0,real
All sounds good. Fingers . Makes it difficult to type,0,real
He also knows about lunch menu only da. . I know,0,real
Get me out of this dump heap. My mom decided to come to lowes. BORING.,0,real
Beauty sleep can help ur pimples too.,0,real
Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night,0,real
"Sorry, I'll call later",0,real
YO YO YO BYATCH WHASSUP?,0,real
O we cant see if we can join denis and mina? Or does denis want alone time,0,real
"It's cool, we can last a little while. Getting more any time soon?",0,real
XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,1,real
"Dear customer, your SBI KYC will be blocked in 24 hours. Update now: tinyurl.com/upi-verify",1,synthetic
Play w computer? Aiyah i tok 2 u lor?,0,real
Lol its ok I didn't remember til last nite,0,real
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",1,real
TELL HER I SAID EAT SHIT.,0,real
Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,1,real
 what number do u live at? Is it 11?,0,real
Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.,0,real
"I call you later, don't have network. If urgnt, sms me.",0,real
ITS A LAPTOP TAKE IT WITH YOU.,0,real
Yup n her fren lor. I'm meeting my fren at 730.,0,real
You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs,0,real
happened here while you were adventuring,0,real
Your parcel is held at customs. Pay Rs.49 customs duty via UPI to release it: bit.ly/3xK9z,1,synthetic
X course it 2yrs. Just so her messages on messenger lik you r sending me,0,real
I am on the way to ur home,0,real
"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up",0,real
When can ü come out?,0,real
I will treasure every moment we spend together...,0,real
No pic. Please re-send.,0,real
"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",0,real
Even i cant close my eyes you are in me our vava playing umma :-D,0,real
S...i will take mokka players only:),0,real
Can you plz tell me the ans. BSLVYL sent via fullonsms.com,0,real
Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,0,real
URGENT: Your SBI account KYC has expired. Click kyc-update.in/verify to avoid suspension.,1,synthetic
Rs.99 withdrawn from ATM **5803 on 27-11-26. Avl bal Rs.76174. Not you? Call 1800678856.,0,synthetic
Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,0,real
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,1,real
Siva is in hostel aha:-.,0,real
